Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
386,18:15.1,24:41.1,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,43928,Subscriber,1980,male
297,18:39.6,23:37.4,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.71925170000001,-74.034234,44744,Subscriber,1982,male
252,20:40.9,24:53.6,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,44872,Subscriber,1981,male
1748,21:42.2,50:50.6,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3276,Marin Light Rail,40.71458404,-74.04281706,42574,Subscriber,1965,female
2646,25:01.0,09:07.7,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,43693,Customer,1987,male
1582,25:09.0,51:31.0,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,42444,Subscriber,1966,male
2678,25:25.8,10:04.0,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42411,Customer,1996,female
3180,29:02.9,22:03.8,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42174,Subscriber,1990,female
1637,29:34.4,56:52.3,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,32945,Subscriber,1990,male
1612,30:00.1,56:52.2,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,48923,Subscriber,1989,male
925,30:43.3,46:08.6,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.03375890000001,44333,Subscriber,1990,female
905,31:08.0,46:13.6,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.03375890000001,46531,Subscriber,1989,male
223,34:17.1,38:00.8,3280,Astor Place,40.7192822,-74.07126188,3679,Bergen Ave,40.72210379,-74.071455,45550,Subscriber,1988,male
2806,35:01.9,21:48.7,3278,Monmouth and 6th,40.72568548,-74.04879034,3192,Liberty Light Rail,40.711242299999995,-74.0557013,44370,Subscriber,1991,male
2738,35:27.8,21:06.6,3278,Monmouth and 6th,40.72568548,-74.04879034,3192,Liberty Light Rail,40.711242299999995,-74.0557013,33564,Subscriber,1991,male
194,37:16.2,40:31.0,3280,Astor Place,40.7192822,-74.07126188,3679,Bergen Ave,40.72210379,-74.071455,44968,Subscriber,1960,male
1155,38:11.0,57:26.0,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,43416,Subscriber,1968,female
753,42:20.9,54:54.7,3193,Lincoln Park,40.724605100000005,-74.07840595,3193,Lincoln Park,40.724605100000005,-74.07840595,26443,Subscriber,1964,female
394,42:59.3,49:33.4,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3202,Newport PATH,40.7272235,-74.03375890000001,43098,Subscriber,1994,male
521,46:32.1,55:13.6,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3276,Marin Light Rail,40.71458404,-74.04281706,28025,Subscriber,1986,male
314,46:36.6,51:51.1,3213,Van Vorst Park,40.71848892,-74.04772663,3275,Columbus Drive,40.718355200000005,-74.03891444,44042,Subscriber,1991,male
364,49:53.5,55:57.8,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,43498,Subscriber,1994,female
1607,52:03.0,18:50.6,3276,Marin Light Rail,40.71458404,-74.04281706,3267,Morris Canal,40.71241882,-74.03852552,42574,Subscriber,1965,female
439,54:06.8,01:26.7,3267,Morris Canal,40.71241882,-74.03852552,3279,Dixon Mills,40.72163014,-74.04996783,44380,Subscriber,1967,male
125,01:01.4,03:06.9,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,32688,Subscriber,1996,male
674,04:03.5,15:17.8,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,48911,Customer,1985,male
2546,04:06.1,46:32.9,3187,Warren St,40.721123600000006,-74.03805095,3187,Warren St,40.721123600000006,-74.03805095,30303,Subscriber,1979,male
504,05:36.0,14:00.9,3203,Hamilton Park,40.72759597,-74.04424731,3267,Morris Canal,40.71241882,-74.03852552,26989,Subscriber,1990,male
1724,05:43.6,34:27.9,3198,Heights Elevator,40.74871595,-74.04044329999999,3205,JC Medical Center,40.71653978,-74.04963791,40866,Subscriber,1994,male
551,07:36.4,16:48.1,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42546,Subscriber,1990,male
942,08:11.8,23:53.9,3694,Jackson Square,40.71113,-74.0789,3209,Brunswick St,40.7241765,-74.05065640000001,27403,Subscriber,1992,male
4706,09:43.2,28:09.8,3187,Warren St,40.721123600000006,-74.03805095,3187,Warren St,40.721123600000006,-74.03805095,42331,Customer,1980,female
3223,11:21.8,05:05.6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42411,Customer,1996,female
3107,11:44.4,03:32.1,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,43693,Customer,1987,male
321,12:06.9,17:28.8,3187,Warren St,40.721123600000006,-74.03805095,3275,Columbus Drive,40.718355200000005,-74.03891444,42497,Customer,1970,male
3715,12:34.8,14:30.5,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,44916,Subscriber,1984,female
365,13:11.9,19:17.0,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,30360,Customer,1992,male
391,15:30.5,22:01.8,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,43498,Subscriber,1989,male
1128,15:43.1,34:31.9,3194,McGinley Square,40.72533993,-74.06762213,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,43928,Subscriber,1988,female
346,16:16.9,22:03.9,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,43139,Subscriber,1990,male
1592,16:48.6,43:21.1,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.7308971,-74.06391263,42342,Customer,1983,male
333,17:00.4,22:33.4,3209,Brunswick St,40.7241765,-74.05065640000001,3187,Warren St,40.721123600000006,-74.03805095,43352,Subscriber,1987,female
4165,18:34.9,28:00.7,3275,Columbus Drive,40.718355200000005,-74.03891444,3187,Warren St,40.721123600000006,-74.03805095,42352,Customer,1970,male
229,19:22.7,23:11.9,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,45281,Subscriber,1988,male
388,19:35.8,26:04.4,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,45550,Subscriber,1985,male
